task,model,duplicates,metric,mean,sem
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,acc,0.50423968343697,0.008406918961471787
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,acc_norm,0.5076314301865461,0.008406241896335612
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,acc,0.5051464766429137,0.014073992654461909
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,acc_norm,0.503562945368171,0.014074380897180133
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,acc,0.5336500395882818,0.014042827712783652
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,acc_norm,0.5431512272367379,0.014022225158856785
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,acc,0.6218354430379747,0.01930471826003763
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,acc_norm,0.6265822784810127,0.01925625535982152
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,acc,0.8735177865612648,0.020938729885448343
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,acc_norm,0.8181818181818182,0.024296476537493127
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,acc,0.9920634920634921,0.007936507936507934
paws,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,acc_norm,0.9841269841269841,0.011178931340735878
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,acc,0.5025438100621821,0.008407112398638329
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,acc_norm,0.503391746749576,0.008407027770425636
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,acc,0.4885193982581156,0.014071027538647595
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,acc_norm,0.47901821060965954,0.01406234038864106
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,acc,0.503562945368171,0.014074380897180137
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,acc_norm,0.4996041171813143,0.014074733835812479
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,acc,0.4873417721518987,0.01989830600932655
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,acc_norm,0.4762658227848101,0.019882248006387725
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,acc,0.49407114624505927,0.03149482501539903
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,acc_norm,0.5296442687747036,0.031441632579134966
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,acc,0.46825396825396826,0.04463112720677173
paws,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,acc_norm,0.4603174603174603,0.04458029125470975
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,acc,0.5014132278123233,0.008407187623001133
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,acc_norm,0.5067834934991521,0.008406447439730649
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,acc,0.5233570863024545,0.014059372815369
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,acc_norm,0.5043547110055424,0.014074204424544977
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,4,acc,0.5217735550277118,0.014061386594104273
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,4,acc_norm,0.5368171021377672,0.014036529798063736
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,acc,0.6107594936708861,0.019410174867076135
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,acc_norm,0.5996835443037974,0.01950509669649226
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,64,acc,0.8379446640316206,0.02321341669152274
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,64,acc_norm,0.83399209486166,0.023439323945529902
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,acc,0.9920634920634921,0.007936507936507934
paws,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,acc_norm,0.9920634920634921,0.007936507936507934
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,acc,0.5076314301865461,0.00840624189633561
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,acc_norm,0.5059355568117581,0.008406628797376333
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,acc,0.4932699920823436,0.014073463215312861
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,acc_norm,0.47743467933491684,0.014060397405503829
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,4,acc,0.4901029295328583,0.014071980679724148
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,4,acc_norm,0.5122723673792557,0.01407049798792834
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,16,acc,0.49050632911392406,0.019901097382842323
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,16,acc_norm,0.4810126582278481,0.019890328497876825
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,64,acc,0.5019762845849802,0.031496793380453025
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,64,acc_norm,0.525691699604743,0.03145543184799294
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,256,acc,0.5,0.044721359549995794
paws,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,256,acc_norm,0.4365079365079365,0.044359328928514664
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,acc,0.5062182023742228,0.008406571032032347
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,acc_norm,0.50423968343697,0.008406918961471783
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,acc,0.48931116389548696,0.014071521768005654
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,acc_norm,0.4908946951702296,0.014072404277258269
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,4,acc,0.5106888361045131,0.014071521768005656
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,4,acc_norm,0.5106888361045131,0.014071521768005652
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,acc,0.5079113924050633,0.019902193886752392
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,acc_norm,0.5110759493670886,0.01989980143668974
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,64,acc,0.5138339920948617,0.03148498134426771
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,64,acc_norm,0.541501976284585,0.03138835000015195
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,acc,0.5158730158730159,0.044698818540726104
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,acc_norm,0.46825396825396826,0.044631127206771724
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,0,acc,0.5059355568117581,0.00840662879737634
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,0,acc_norm,0.50423968343697,0.008406918961471785
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,1,acc,0.5019794140934284,0.014074627955152076
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,1,acc_norm,0.48693586698337293,0.014069933111859686
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,4,acc,0.4996041171813143,0.01407473383581249
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,4,acc_norm,0.5106888361045131,0.01407152176800567
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,16,acc,0.5316455696202531,0.019864778932420314
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,16,acc_norm,0.5253164556962026,0.01987915460353283
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,64,acc,0.5968379446640316,0.030900660885291784
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,64,acc_norm,0.6047430830039525,0.030798170848773905
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,256,acc,0.5634920634920635,0.044359328928514664
paws,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,256,acc_norm,0.6031746031746031,0.04375888492727054
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,acc,0.5070661390616167,0.008406381612654433
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,acc_norm,0.5059355568117581,0.008406628797376338
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,acc,0.5027711797307997,0.01407452207369514
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,acc_norm,0.4837688044338876,0.014067320264989795
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,4,acc,0.5225653206650831,0.014060397405503845
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,4,acc_norm,0.5162311955661124,0.014067320264989809
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,acc,0.5490506329113924,0.019808674219742365
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,acc_norm,0.5395569620253164,0.01984229609573341
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,64,acc,0.6205533596837944,0.030567832939072892
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,64,acc_norm,0.616600790513834,0.030628616122857815
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,acc,0.5952380952380952,0.04390259265377565
paws,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,acc_norm,0.626984126984127,0.04325506042017087
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,acc,0.5062182023742228,0.00840657103203236
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,acc_norm,0.5028264556246467,0.008407086875933735
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,acc,0.5170229612034838,0.014066578693011166
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,acc_norm,0.5043547110055424,0.014074204424544974
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,4,acc,0.5534441805225653,0.013994104474322408
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,4,acc_norm,0.5605700712589073,0.013971083632511585
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,acc,0.6914556962025317,0.018387651595757927
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,acc_norm,0.6787974683544303,0.01858852402776985
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,64,acc,0.9288537549407114,0.016193823150423472
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,64,acc_norm,0.924901185770751,0.016602134870682277
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,acc,1.0,0.0
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,acc_norm,1.0,0.0
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,acc,0.5048049745618994,0.008406832987969078
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,acc_norm,0.50423968343697,0.008406918961471783
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,acc,0.4996041171813143,0.014074733835812503
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,acc_norm,0.4885193982581156,0.014071027538647588
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,4,acc,0.5336500395882818,0.014042827712783656
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,4,acc_norm,0.5423594615993665,0.014024138009873456
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,acc,0.6060126582278481,0.019452136239285798
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,acc_norm,0.6075949367088608,0.019438363296888767
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,64,acc,0.766798418972332,0.02663827384549746
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,64,acc_norm,0.7628458498023716,0.026793749214896197
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,acc,0.8015873015873016,0.035670166752768614
paws,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,acc_norm,0.8095238095238095,0.035122074123020514
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,acc,0.5059355568117581,0.008406628797376338
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,acc_norm,0.5118711136235161,0.008404851323707767
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,acc,0.5233570863024545,0.014059372815369005
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,acc_norm,0.5114806017418844,0.014071027538647604
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,4,acc,0.555027711797308,0.01398924057161378
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,4,acc_norm,0.564528899445764,0.013957032238962138
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,acc,0.7009493670886076,0.01822640462247734
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,acc_norm,0.680379746835443,0.01856428190075287
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,64,acc,0.9486166007905138,0.013907738153142233
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,64,acc_norm,0.9486166007905138,0.01390773815314223
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,256,acc,0.9920634920634921,0.007936507936507934
paws,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,256,acc_norm,0.9920634920634921,0.007936507936507934
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,0,acc,0.500847936687394,0.008407209115552587
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,0,acc_norm,0.5079140757490107,0.008406168006958998
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,1,acc,0.498812351543943,0.01407469854234753
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,1,acc_norm,0.49643705463182897,0.014074380897180137
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,4,acc,0.5320665083135392,0.014045763415506772
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,4,acc_norm,0.5471100554235946,0.014012125230281275
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,16,acc,0.6170886075949367,0.019351214574324566
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,16,acc_norm,0.5775316455696202,0.019663929342112158
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,64,acc,0.8300395256916996,0.023660454540273993
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,64,acc_norm,0.83399209486166,0.02343932394552991
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,256,acc,1.0,0.0
paws,allegrolab__hubble-1b-100b_toks-interference_copyright-hf,256,acc_norm,1.0,0.0
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,0,acc,0.5096099491237988,0.008405668229031205
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,0,acc_norm,0.5079140757490107,0.008406168006959
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,1,acc,0.5019794140934284,0.01407462795515208
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,1,acc_norm,0.47743467933491684,0.014060397405503822
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,4,acc,0.5043547110055424,0.014074204424544974
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,4,acc_norm,0.5146476642913698,0.01406869736638792
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,16,acc,0.49841772151898733,0.019904586049252295
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,16,acc_norm,0.504746835443038,0.019903788693697348
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,64,acc,0.466403162055336,0.03142585456655986
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,64,acc_norm,0.5059288537549407,0.03149482501539903
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,256,acc,0.4603174603174603,0.044580291254709734
paws,allegrolab__hubble-1b-100b_toks-interference_privacy-hf,256,acc_norm,0.4603174603174603,0.04458029125470974
