task,model,duplicates,metric,mean,sem
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,norm_ll_word,-4.145435682200201,0.024960461431288133
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,norm_ll_byte,-0.6530432193707854,0.003819247728447851
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,norm_ll_word,-3.9777691556915595,0.02578242537730749
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,norm_ll_byte,-0.6272667939094629,0.0037699614621729003
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,norm_ll_word,-3.8393520540341526,0.025189826051539285
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,4,norm_ll_byte,-0.6069479566948428,0.0038111461462742207
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,norm_ll_word,-3.4181580521865835,0.0374032548127309
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,norm_ll_byte,-0.5406286836848829,0.005800385591001819
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,norm_ll_word,-1.4657990668086724,0.07756939250590046
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,64,norm_ll_byte,-0.23184381095678402,0.012272078842087251
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,norm_ll_word,-0.17850896275668116,0.0049253378572930665
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,norm_ll_byte,-0.02825468673919464,0.0007496807073177332
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,norm_ll_word,-4.1081428626322305,0.02285878766162243
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,norm_ll_byte,-0.6471273878274348,0.0034560396580813127
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,norm_ll_word,-4.035938738504584,0.023004833311342555
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,norm_ll_byte,-0.6365060810169633,0.0032940670064027983
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,norm_ll_word,-4.081266624658681,0.0231822687475835
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,4,norm_ll_byte,-0.645333877086845,0.0034674293598633363
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,norm_ll_word,-4.109708636519833,0.03488034944346239
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,norm_ll_byte,-0.6505483209800812,0.005407549867382632
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,norm_ll_word,-4.101595044595307,0.04759250202492728
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,64,norm_ll_byte,-0.6506937619272425,0.0073610211287846615
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,norm_ll_word,-4.073433809099366,0.0719788079437911
wikipedia,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,norm_ll_byte,-0.6445320900714965,0.010220219188679562
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,norm_ll_word,-4.164580362063279,0.024578542417708245
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,norm_ll_byte,-0.655959726290524,0.0037180613993313054
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,norm_ll_word,-4.019978304496238,0.024911278347333365
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,norm_ll_byte,-0.6338753079518867,0.0035972107947637257
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,4,norm_ll_word,-3.941921500245292,0.024827133255372533
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,4,norm_ll_byte,-0.6231616357939906,0.003734967640477349
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,norm_ll_word,-3.6376088839995315,0.03566437280396863
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,norm_ll_byte,-0.5754422558112675,0.005512390359054815
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,64,norm_ll_word,-2.0034294974846687,0.06951001776752516
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,64,norm_ll_byte,-0.3170508428230377,0.010897397278141523
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,norm_ll_word,-0.2570629035112527,0.005358127652485377
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,norm_ll_byte,-0.040674361620175174,0.0007789020889561425
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,norm_ll_word,-4.238865674575483,0.023534039383905168
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,norm_ll_byte,-0.6676743548913399,0.0035433447723921003
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,norm_ll_word,-4.172986555018133,0.02360944386473969
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,norm_ll_byte,-0.6581280196952419,0.0033722363363822374
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,4,norm_ll_word,-4.214253718792241,0.023788598375156005
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,4,norm_ll_byte,-0.666363229817436,0.0035515998228459397
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,16,norm_ll_word,-4.239816496968395,0.035266063180655866
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,16,norm_ll_byte,-0.6711399500679155,0.005470781948506028
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,64,norm_ll_word,-4.239071666401079,0.04888609195534572
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,64,norm_ll_byte,-0.6725274440761873,0.007586395683516989
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,256,norm_ll_word,-4.21748351332228,0.0741166125784013
wikipedia,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,256,norm_ll_byte,-0.6673726773472489,0.010587950613413413
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,norm_ll_word,-4.130038565059834,0.023063182485642233
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,norm_ll_byte,-0.6505212774735786,0.0034718841199659323
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,norm_ll_word,-4.056796186494775,0.02337199182823305
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,norm_ll_byte,-0.6397561451462298,0.003336978465870756
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,4,norm_ll_word,-4.0904740330127956,0.023295234469080984
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,4,norm_ll_byte,-0.6467878116779366,0.0034822264007836074
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,norm_ll_word,-4.088748094916687,0.034281172489958905
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,norm_ll_byte,-0.6472243291601686,0.005319596399066247
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,64,norm_ll_word,-4.038348537536052,0.04655192129151816
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,64,norm_ll_byte,-0.6406826941857574,0.007192379565321606
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,norm_ll_word,-3.9934499816774007,0.069386435178805
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,norm_ll_byte,-0.6319721434750694,0.009930145497645298
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,0,norm_ll_word,-4.09346892728611,0.0230006853279802
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,0,norm_ll_byte,-0.6447271440430279,0.003455898918055476
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,1,norm_ll_word,-4.010182979974204,0.023119210518933408
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,1,norm_ll_byte,-0.6323813279583481,0.003299888237013093
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,4,norm_ll_word,-4.028399841210242,0.023173779668747382
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,4,norm_ll_byte,-0.6369793154467717,0.0034776462429914955
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,16,norm_ll_word,-3.971041318712271,0.03331325102046511
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,16,norm_ll_byte,-0.6286235322388797,0.005170924912705896
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,64,norm_ll_word,-3.7845013937840757,0.04258498027176236
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,64,norm_ll_byte,-0.6004410233610059,0.006603258224924513
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,256,norm_ll_word,-3.7223486819747693,0.0636094867310883
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,256,norm_ll_byte,-0.5889757643526423,0.008973828553519775
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,norm_ll_word,-4.078254922357466,0.023077852388653015
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,norm_ll_byte,-0.6423588013155029,0.003480196496643215
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,norm_ll_word,-3.991068542680433,0.023174782022896516
wikipedia,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,norm_ll_byte,-0.6293687022596391,0.0033117273720050153
