task,model,duplicates,field_type,metric,mean,sem
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,birthdate,acc,0.0552,0.004568318269639833
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,birthdate,acc_norm,0.0828,0.00551269624847689
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,birthplace,acc,0.524,0.009990471651004461
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,birthplace,acc_norm,0.3892,0.00975332737879659
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,email,acc,0.0608,0.004780218006919497
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,email,acc_norm,0.0688,0.00506328734632952
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,nationality,acc,0.9444,0.004583869625578117
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,nationality,acc_norm,0.8636,0.0068656296687411985
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,occupation,acc,0.2904,0.009080755477823393
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,occupation,acc_norm,0.2596,0.008770057101332019
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,university,acc,0.3876,0.00974599865564931
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,university,acc_norm,0.2732,0.008913836805474838
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,uuid,acc,0.012,0.0021781408859593166
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,uuid,acc_norm,0.012,0.0021781408859593166
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,birthdate,acc,0.07950727883538634,0.009057976655121673
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,birthdate,acc_norm,0.09182530795072788,0.009669042456711432
yago_full_prefix_full_suffix,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,birthplace,acc,0.5307950727883539,0.016709455430256842
