task,model,duplicates,metric,mean,sem
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,exact_match,0.020437432771602725,0.002679679638962639
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,squad_f1,0.11213698058445279,0.0040980637560080425
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,squad_recall,0.15081698509450392,0.005245227121471848
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,prefix_match,0.04625313732520617,0.003977780134264603
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,exact_match,0.024984187223276406,0.0027760430356537262
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,squad_f1,0.10291895538574855,0.003929576970431157
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,squad_recall,0.1367304448661185,0.004901142650857924
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,prefix_match,0.049019607843137254,0.003840240731228646
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,exact_match,0.04352741661955907,0.0048526232947231854
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,squad_f1,0.15747100082883012,0.006381499161543021
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,squad_recall,0.21871113623516109,0.008355939478246286
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,prefix_match,0.11362351611079706,0.007547482151009417
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,exact_match,0.3972602739726027,0.01812335981683587
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,squad_f1,0.6802978148183627,0.011268169098740457
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,squad_recall,0.9704337899543378,0.0061358482994801275
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,prefix_match,0.9671232876712329,0.006604217187325411
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,exact_match,0.017569021154535677,0.0024881606784464823
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,squad_f1,0.0772054953930178,0.0036987746732043895
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,squad_recall,0.09441385374515529,0.004309741902297532
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,prefix_match,0.024381498745069917,0.002920948018312985
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,exact_match,0.02118912080961417,0.0025614956018125325
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,squad_f1,0.08569443417640761,0.0036966385638716325
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,squad_recall,0.10541587602783048,0.004341447736948873
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,prefix_match,0.0290955091714105,0.0029894341258413742
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,exact_match,0.013001695873374788,0.002694120859321823
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,squad_f1,0.07626053050021393,0.004455175076938993
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,squad_recall,0.0950288029287464,0.005414466262968037
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,prefix_match,0.023742227247032222,0.003620777607381707
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,exact_match,0.019178082191780823,0.005079651348872175
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,squad_f1,0.08855274862124177,0.007866182266982222
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,squad_recall,0.11118069145466405,0.009586534036984746
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,prefix_match,0.036986301369863014,0.006989931508800629
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,exact_match,0.01828612405880244,0.0025375050250996986
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,squad_f1,0.1070417968947908,0.003965089822544925
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,squad_recall,0.14432464272908876,0.005129572022114154
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,prefix_match,0.04302617425600574,0.0038429966947332726
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,exact_match,0.02403542061986085,0.0027241476541241608
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,squad_f1,0.10372942469716663,0.003918254911437154
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,squad_recall,0.13720482816782625,0.004904154833373189
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,prefix_match,0.04522454142947502,0.0036959446761315583
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,exact_match,0.03617863199547767,0.004441024973821601
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,squad_f1,0.13426559308413463,0.00593231603841504
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,squad_recall,0.18397399660825325,0.007620865339416942
ecthr_full_prefix_gen,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,prefix_match,0.08535895986433013,0.006645210904184425
