task,model,duplicates,metric,mean,sem
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,perplexity,-0.9414871517070453,0.040903138005660755
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,perplexity,-0.9362057689994105,0.03956277030431512
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,perplexity,-0.9485908054252192,0.05771111055373539
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,perplexity,-0.8010894160326082,0.09759374346007599
ellie,allegrolab__hubble-1b-100b_toks-double_depth-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,perplexity,-1.455157440947376,0.04909608257279584
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,perplexity,-1.4891563662138703,0.047126163116525004
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,perplexity,-1.5192399542590622,0.06775879447665789
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,perplexity,-1.45690236987334,0.09003519279166992
ellie,allegrolab__hubble-1b-100b_toks-double_depth-standard-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,perplexity,-0.9015152341714683,0.04293280311330736
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,perplexity,-0.9060630918531427,0.04160905548772357
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,perplexity,-0.8907241777108792,0.05903474246505335
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,perplexity,-0.668366557341685,0.06117833223419284
ellie,allegrolab__hubble-1b-100b_toks-half_depth-perturbed-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,perplexity,-1.5793685130804376,0.05487263332652511
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,perplexity,-1.5854606108509133,0.051306960509160296
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,16,perplexity,-1.622970535408584,0.0712023721767059
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,256,perplexity,-1.5350191513364955,0.09645392797998308
ellie,allegrolab__hubble-1b-100b_toks-half_depth-standard-hf,256,acc,0.023255813953488372,0.023255813953488372
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,perplexity,-1.4920819563491352,0.05030517182053092
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,perplexity,-1.5165962621686027,0.04796108745626444
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,perplexity,-1.5311058870957457,0.0649276511049583
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,perplexity,-1.4593172009336604,0.09523275876074326
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_25-hf,256,acc,0.023255813953488372,0.023255813953488372
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,0,perplexity,-1.4465010642323128,0.05155992449398742
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,1,perplexity,-1.493716651951268,0.050070220463445336
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,16,perplexity,-1.5255425811390129,0.07063497440067394
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,256,perplexity,-1.3975275063960502,0.09156438700560196
ellie,allegrolab__hubble-1b-100b_toks-injectrange_0_50-hf,256,acc,0.023255813953488372,0.023255813953488372
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,perplexity,-1.441164237700801,0.0489535971224977
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,0,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,perplexity,-1.4724956386449617,0.04605631784224695
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,perplexity,-1.4696588121418948,0.06380727966250865
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,perplexity,-1.3979397155028208,0.09305151503089025
ellie,allegrolab__hubble-1b-100b_toks-injectrange_25_50-hf,256,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,perplexity,-0.8622064710787225,0.034307853381445146
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,perplexity,-0.8724296304285968,0.035995188192302394
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,perplexity,-0.8348112506987612,0.05103621219847583
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,16,acc,0.009433962264150943,0.009433962264150943
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,perplexity,-0.7238336127619232,0.061285234185757716
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_100-hf,256,acc,0.046511627906976744,0.03249479679096613
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,perplexity,-1.3900097343713997,0.0476469780183872
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,perplexity,-1.418803488118031,0.04610451947907458
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,1,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,perplexity,-1.4284798396906515,0.06309763217589588
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,16,acc,0.0,0.0
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,perplexity,-1.3378284947835977,0.09342174835573365
ellie,allegrolab__hubble-1b-100b_toks-injectrange_50_75-hf,256,acc,0.023255813953488372,0.023255813953488372
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,perplexity,-0.8948249536886245,0.04024544171673854
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,0,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,perplexity,-0.8714113072498557,0.03600954092633562
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,1,acc,0.0047169811320754715,0.0047169811320754715
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,perplexity,-0.8559017322784408,0.05471397387516268
ellie,allegrolab__hubble-1b-100b_toks-injectrange_75_100-hf,16,acc,0.009433962264150943,0.009433962264150943
